company_id,name,region,group_id
1,Company 1,South,2
2,Company 2,West,3
3,Company 3,North,4
4,Company 4,South,5
5,Company 5,West,6
6,Company 6,North,7
7,Company 7,South,8
8,Company 8,West,9
9,Company 9,North,10
10,Company 10,South,1
11,Company 11,West,2
12,Company 12,North,3
13,Company 13,South,4
14,Company 14,West,5
15,Company 15,North,6
16,Company 16,South,7
17,Company 17,West,8
18,Company 18,North,9
19,Company 19,South,10
20,Company 20,West,1
21,Company 21,North,2
22,Company 22,South,3
23,Company 23,West,4
24,Company 24,North,5
25,Company 25,South,6
26,Company 26,West,7
27,Company 27,North,8
28,Company 28,South,9
29,Company 29,West,10
30,Company 30,North,1
31,Company 31,South,2
32,Company 32,West,3
33,Company 33,North,4
34,Company 34,South,5
35,Company 35,West,6
36,Company 36,North,7
37,Company 37,South,8
38,Company 38,West,9
39,Company 39,North,10
40,Company 40,South,1
41,Company 41,West,2
42,Company 42,North,3
43,Company 43,South,4
44,Company 44,West,5
45,Company 45,North,6
46,Company 46,South,7
47,Company 47,West,8
48,Company 48,North,9
49,Company 49,South,10
50,Company 50,West,1
51,Company 51,North,2
52,Company 52,South,3
53,Company 53,West,4
54,Company 54,North,5
55,Company 55,South,6
56,Company 56,West,7
57,Company 57,North,8
58,Company 58,South,9
59,Company 59,West,10
60,Company 60,North,1
61,Company 61,South,2
62,Company 62,West,3
63,Company 63,North,4
64,Company 64,South,5
65,Company 65,West,6
66,Company 66,North,7
67,Company 67,South,8
68,Company 68,West,9
69,Company 69,North,10
70,Company 70,South,1
71,Company 71,West,2
72,Company 72,North,3
73,Company 73,South,4
74,Company 74,West,5
75,Company 75,North,6
76,Company 76,South,7
77,Company 77,West,8
78,Company 78,North,9
79,Company 79,South,10
80,Company 80,West,1
81,Company 81,North,2
82,Company 82,South,3
83,Company 83,West,4
84,Company 84,North,5
85,Company 85,South,6
86,Company 86,West,7
87,Company 87,North,8
88,Company 88,South,9
89,Company 89,West,10
90,Company 90,North,1
91,Company 91,South,2
92,Company 92,West,3
93,Company 93,North,4
94,Company 94,South,5
95,Company 95,West,6
96,Company 96,North,7
97,Company 97,South,8
98,Company 98,West,9
99,Company 99,North,10
100,Company 100,South,1
101,Company 101,West,2
102,Company 102,North,3
103,Company 103,South,4
