transaction_id,company_id,fund_id,amount,period,transaction_date
1,2,2,17.37,2024-02,2024-02-02
2,3,3,34.74,2024-03,2024-03-03
3,4,4,52.11,2024-04,2024-04-04
4,5,5,69.48,2024-05,2024-05-05
5,6,6,86.85,2024-06,2024-06-06
6,7,7,104.22,2024-07,2024-07-07
7,8,8,121.59,2024-08,2024-08-08
8,9,9,138.96,2024-09,2024-09-09
9,10,10,156.33,2024-10,2024-10-10
10,11,11,173.7,2024-11,2024-11-11
11,12,12,191.07,2024-12,2024-12-12
12,13,13,208.44,2024-01,2024-13-13
13,14,14,225.81,2024-02,2024-14-14
14,15,15,243.18,2024-03,2024-15-15
15,16,16,260.55,2024-04,2024-16-16
16,17,17,277.92,2024-05,2024-17-17
17,18,18,295.29,2024-06,2024-18-18
18,19,19,312.66,2024-07,2024-19-19
19,20,20,330.03,2024-08,2024-20-20
20,21,1,347.4,2024-09,2024-21-21
21,22,2,364.77,2024-10,2024-22-22
22,23,3,382.14,2024-11,2024-23-23
23,24,4,399.51,2024-12,2024-24-24
24,25,5,416.88,2024-01,2024-25-25
25,26,6,434.25,2024-02,2024-26-26
26,27,7,451.62,2024-03,2024-27-27
27,28,8,468.99,2024-04,2024-28-28
28,29,9,486.36,2024-05,2024-01-01
29,30,10,503.73,2024-06,2024-02-02
30,31,11,521.1,2024-07,2024-03-03
31,32,12,538.47,2024-08,2024-04-04
32,33,13,555.84,2024-09,2024-05-05
33,34,14,573.21,2024-10,2024-06-06
34,35,15,590.58,2024-11,2024-07-07
35,36,16,607.95,2024-12,2024-08-08
36,37,17,625.32,2024-01,2024-09-09
37,38,18,642.69,2024-02,2024-10-10
38,39,19,660.06,2024-03,2024-11-11
39,40,20,677.43,2024-04,2024-12-12
40,41,1,694.8,2024-05,2024-13-13
41,42,2,712.17,2024-06,2024-14-14
42,43,3,729.54,2024-07,2024-15-15
43,44,4,746.91,2024-08,2024-16-16
44,45,5,764.28,2024-09,2024-17-17
45,46,6,781.65,2024-10,2024-18-18
46,47,7,799.02,2024-11,2024-19-19
47,48,8,816.39,2024-12,2024-20-20
48,49,9,833.76,2024-01,2024-21-21
49,50,10,851.13,2024-02,2024-22-22
50,51,11,868.5,2024-03,2024-23-23
51,52,12,885.87,2024-04,2024-24-24
52,53,13,903.24,2024-05,2024-25-25
53,54,14,920.61,2024-06,2024-26-26
54,55,15,937.98,2024-07,2024-27-27
55,56,16,955.35,2024-08,2024-28-28
56,57,17,972.72,2024-09,2024-01-01
57,58,18,990.09,2024-10,2024-02-02
58,59,19,1007.46,2024-11,2024-03-03
59,60,20,1024.83,2024-12,2024-04-04
60,61,1,1042.2,2024-01,2024-05-05
61,62,2,1059.57,2024-02,2024-06-06
62,63,3,1076.94,2024-03,2024-07-07
63,64,4,1094.31,2024-04,2024-08-08
64,65,5,1111.68,2024-05,2024-09-09
65,66,6,1129.05,2024-06,2024-10-10
66,67,7,1146.42,2024-07,2024-11-11
67,68,8,1163.79,2024-08,2024-12-12
68,69,9,1181.16,2024-09,2024-13-13
69,70,10,1198.53,2024-10,2024-14-14
70,71,11,1215.9,2024-11,2024-15-15
71,72,12,1233.27,2024-12,2024-16-16
72,73,13,1250.64,2024-01,2024-17-17
73,74,14,1268.01,2024-02,2024-18-18
74,75,15,1285.38,2024-03,2024-19-19
75,76,16,1302.75,2024-04,2024-20-20
76,77,17,1320.12,2024-05,2024-21-21
77,78,18,1337.49,2024-06,2024-22-22
78,79,19,1354.86,2024-07,2024-23-23
79,80,20,1372.23,2024-08,2024-24-24
80,81,1,1389.6,2024-09,2024-25-25
81,82,2,1406.97,2024-10,2024-26-26
82,83,3,1424.34,2024-11,2024-27-27
83,84,4,1441.71,2024-12,2024-28-28
84,85,5,1459.08,2024-01,2024-01-01
85,86,6,1476.45,2024-02,2024-02-02
86,87,7,1493.82,2024-03,2024-03-03
87,88,8,1511.19,2024-04,2024-04-04
88,89,9,1528.56,2024-05,2024-05-05
89,90,10,1545.93,2024-06,2024-06-06
90,91,11,1563.3,2024-07,2024-07-07
91,92,12,1580.67,2024-08,2024-08-08
92,93,13,1598.04,2024-09,2024-09-09
93,94,14,1615.41,2024-10,2024-10-10
